timestamp,rms
timestamp,rms
timestamp,rms
timestamp,rms
timestamp,rms
2025-12-21 14:15:42,500.51
2025-12-21 14:15:42,457.78
2025-12-21 14:15:42,458.68
2025-12-21 14:15:43,462.74
2025-12-21 14:15:44,443.49
2025-12-21 14:15:46,472.16
2025-12-21 14:15:47,444.05
2025-12-21 14:15:48,429.71
2025-12-21 14:15:49,431.9
2025-12-21 14:15:50,431.97
2025-12-21 14:15:51,413.09
2025-12-21 14:15:52,453.51
2025-12-21 14:15:53,433.27
2025-12-21 14:15:54,419.16
2025-12-21 14:15:55,374.99
2025-12-21 14:15:56,370.6
2025-12-21 14:15:57,339.32
2025-12-21 14:15:58,382.61
2025-12-21 14:15:59,349.97
2025-12-21 14:16:00,334.58
2025-12-21 14:16:01,334.96
2025-12-21 14:16:03,316.7
2025-12-21 14:16:04,325.48
2025-12-21 14:16:05,360.07
2025-12-21 14:16:06,361.57
2025-12-21 14:16:07,327.8
2025-12-21 14:16:08,330.59
2025-12-21 14:16:09,324.17
2025-12-21 14:16:10,323.55
2025-12-21 14:16:11,358.36
2025-12-21 14:16:12,310.39
2025-12-21 14:16:13,304.27
2025-12-21 14:16:14,310.68
2025-12-21 14:16:15,313.03
2025-12-21 14:16:16,303.92
2025-12-21 14:16:17,537.44
2025-12-21 14:16:18,447.53
2025-12-21 14:16:19,357.18
2025-12-21 14:16:21,366.64
2025-12-21 14:16:22,359.19
2025-12-21 14:16:23,362.64
2025-12-21 14:16:24,404.29
2025-12-21 14:16:25,356.88
2025-12-21 14:16:26,352.46
2025-12-21 14:16:27,354.51
2025-12-21 14:16:28,352.87
2025-12-21 14:16:29,351.86
2025-12-21 14:16:30,379.25
2025-12-21 14:16:31,347.68
2025-12-21 14:16:32,343.12
2025-12-21 14:16:33,346.35
2025-12-21 14:16:34,349.17
2025-12-21 14:16:35,283.91
2025-12-21 14:16:36,284.07
2025-12-21 14:16:38,278.04
2025-12-21 14:16:39,275.96
2025-12-21 14:16:40,274.57
2025-12-21 14:16:41,272.92
2025-12-21 14:16:42,293.8
2025-12-21 14:16:43,273.17
2025-12-21 14:16:44,280.46
2025-12-21 14:16:45,278.64
2025-12-21 14:16:46,272.56
2025-12-21 14:16:47,294.99
2025-12-21 14:16:48,305.7
2025-12-21 14:16:49,284.77
2025-12-21 14:16:50,276.04
2025-12-21 14:16:51,284.65
2025-12-21 14:16:52,273.41
2025-12-21 14:16:53,298.18
2025-12-21 14:16:55,303.86
2025-12-21 14:16:56,274.19
2025-12-21 14:16:57,273.6
2025-12-21 14:16:58,282.29
2025-12-21 14:16:59,284.84
2025-12-21 14:17:00,307.13
2025-12-21 14:17:01,287.92
2025-12-21 14:17:02,280.94
2025-12-21 14:17:03,281.01
2025-12-21 14:17:04,279.73
2025-12-21 14:17:05,292.74
2025-12-21 14:17:06,305.97
2025-12-21 14:17:07,286.95
2025-12-21 14:17:08,283.89
2025-12-21 14:17:09,282.45
2025-12-21 14:17:10,282.65
2025-12-21 14:17:12,301.78
2025-12-21 14:17:13,294.73
2025-12-21 14:17:14,279.53
2025-12-21 14:17:15,283.02
2025-12-21 14:17:16,278.81
2025-12-21 14:17:17,278.09
2025-12-21 14:17:18,307.02
2025-12-21 14:17:19,277.51
2025-12-21 14:17:20,277.46
2025-12-21 14:17:21,274.02
2025-12-21 14:17:22,280.23
2025-12-21 14:17:23,295.95
2025-12-21 14:17:24,289.88
2025-12-21 14:17:25,279.1
2025-12-21 14:17:26,283.62
2025-12-21 14:17:27,276.65
2025-12-21 14:17:29,277.12
2025-12-21 14:17:30,310.23
2025-12-21 14:17:31,278.06
2025-12-21 14:17:32,271.36
2025-12-21 14:17:33,276.58
2025-12-21 14:17:34,281.66
2025-12-21 14:17:35,280.0
2025-12-21 14:17:36,296.81
2025-12-21 14:17:37,281.92
2025-12-21 14:17:38,273.77
2025-12-21 14:17:39,274.16
2025-12-21 14:17:40,274.56
2025-12-21 14:17:41,294.96
2025-12-21 14:17:42,296.11
2025-12-21 14:17:43,280.62
2025-12-21 14:17:44,279.38
2025-12-21 14:17:46,280.54
2025-12-21 14:17:47,281.44
2025-12-21 14:17:48,304.52
2025-12-21 14:17:49,317.67
